ra,dec,dered_u,err_u,dered_r,err_r,deVRad_r,deVRadErr_r,z,veldisp,veldisperr,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84
239.58332907,27.23341292,17.767288,0.049572,14.397099,2.720179E-3,18.216965,0.205358,0.090807,272.618713,13.612216,11.695192,11.611497,11.773891
239.5780388,27.23910305,19.17033,0.044369,16.447948,4.333894E-3,2.259539,0.037424,0.08058,212.942398,9.273766,10.920323,10.824115,11.01576
239.40324684,27.46385283,20.00024,0.070398,17.155439,5.64529E-3,2.12468,0.045361,0.089456,157.254105,11.778564,10.584498,10.492002,10.668568
239.5693859,27.23673589,20.153168,0.060793,16.886936,4.628113E-3,0.806285,0.017516,0.089335,295.87796,11.58015,10.877969,10.798607,10.954689
239.60272281,27.2295196,19.287027,0.077119,16.075493,4.390681E-3,4.888251,0.10471,0.088195,207.978195,12.933121,11.136953,11.047954,11.220408
239.60532702,27.23314459,21.533886,0.158848,18.386686,9.079389E-3,0.383564,0.019598,0.104618,133.267853,11.576057,10.561258,10.466826,10.654852
239.56577439,26.94431606,19.655907,0.057146,16.820198,4.667867E-3,2.056966,0.047823,0.093563,219.071732,10.244158,10.827796,10.73811,10.919147
239.58641791,26.94615321,18.57514,0.033989,15.874228,3.365379E-3,2.925764,0.037608,0.087926,171.623459,8.466734,10.983381,10.886539,11.083403
239.26404659,27.30362461,18.053186,0.026444,15.706727,3.4349E-3,7.049218,0.087236,0.094276,166.594147,10.84964,11.197313,11.102053,11.302655
239.59648413,27.20714653,19.899858,0.06612,16.967953,5.087168E-3,1.652232,0.043707,0.092194,185.680908,12.735367,10.780937,10.691547,10.869298
239.53658498,27.51508911,20.352402,0.077164,17.316328,5.530393E-3,1.256927,0.032298,0.09036,190.061813,13.619488,10.584135,10.482224,10.687771
239.6538829,27.51103542,20.485819,0.087405,17.555716,6.241767E-3,1.732131,0.037862,0.095244,105.875305,10.814576,10.432384,10.332219,10.54387
239.43572539,27.49023711,20.040424,0.066005,17.011566,5.068245E-3,1.416243,0.026505,0.087526,193.041565,10.587266,10.73247,10.641765,10.817744
239.90883862,27.26021881,20.162981,0.080639,17.351192,6.246802E-3,1.600362,0.05129,0.087066,152.080078,13.179554,10.553596,10.462242,10.648137
239.5052982,27.25071107,19.511383,0.049684,16.572065,4.180889E-3,1.650307,0.034161,0.085626,200.922241,10.585817,10.870639,10.781566,10.956337
239.53101584,27.24548441,20.098499,0.070678,16.943815,4.84057E-3,1.618409,0.038563,0.089499,194.266663,10.792105,10.837231,10.748996,10.933403
239.4399952,27.12031156,20.071651,0.097246,17.062387,5.977585E-3,4.689258,0.120097,0.108554,168.914993,18.557352,11.079898,10.983035,11.185132
239.51974918,27.19710724,19.039328,0.035245,17.099607,5.301476E-3,4.106866,0.075429,0.082857,106.409012,12.650296,10.360646,10.271188,10.451229
239.53308921,27.18669121,18.875305,0.031913,17.256865,5.836271E-3,3.584172,0.087338,0.102449,97.462646,15.534896,10.462096,10.357077,10.569279
239.55254502,27.20793831,20.254349,0.070999,17.393282,5.72563E-3,1.214685,0.030238,0.091785,175.798996,12.232823,10.543205,10.450591,10.631782
239.53721406,27.17301194,20.181076,0.075393,17.196444,5.475995E-3,1.487153,0.034374,0.08753,190.737625,15.173376,10.601771,10.510511,10.690176
239.57466749,27.18305564,20.390881,0.103794,17.535736,7.047417E-3,2.096273,0.084504,0.093211,118.692879,14.787582,10.507895,10.410945,10.606123
239.57430436,27.16024292,19.989168,0.06872,17.169081,5.494347E-3,1.875325,0.043985,0.087385,146.386215,10.624137,10.575009,10.481626,10.660945
239.60210456,27.19043313,19.782032,0.052807,16.806059,4.50672E-3,1.298679,0.027237,0.091405,243.484497,11.650237,10.825644,10.735606,10.914337
239.5838905,27.16340145,19.525154,0.052838,16.787895,4.75479E-3,2.844059,0.050349,0.084374,134.302368,8.872712,10.662831,10.572234,10.749843
239.63371014,27.18082736,18.988632,0.039739,15.940301,3.416584E-3,2.512821,0.035753,0.084077,258.860718,9.211428,11.163896,11.075382,11.24383
239.555405,27.2481222,17.927557,0.047237,14.81144,3.034219E-3,15.049281,0.19886,0.096505,224.97966,11.499043,11.705176,11.616172,11.785342
239.59425368,27.2567245,20.512472,0.085486,17.442577,5.998432E-3,0.906542,0.021772,0.090296,208.855255,13.544253,10.562696,10.472251,10.648235
239.60595884,27.24582845,20.146353,0.075087,17.025768,5.168717E-3,1.265324,0.033023,0.090379,177.140778,12.527268,10.818638,10.737638,10.902952
239.76841855,27.26853818,18.777941,0.04366,16.056799,3.711986E-3,3.472387,0.046588,0.091005,193.416718,10.255357,11.0898,10.996056,11.183733
239.27729314,27.11927513,19.177969,0.048309,17.079756,5.572145E-3,5.174984,0.112395,0.067607,69.021736,14.875517,10.135796,10.038988,10.23506
239.60198979,26.93377366,19.132879,0.064587,16.183908,4.205223E-3,4.415838,0.070251,0.092756,166.391525,8.137359,11.142269,11.043179,11.244542
239.60274411,26.9353763,18.399189,0.060124,16.532274,7.685323E-3,13.272597,0.379569,0.097346,24.910288,39.12928,10.50423,10.411592,10.590953
239.2664868,27.34067417,19.934151,0.068588,17.217035,5.715924E-3,5.542541,0.125014,0.08826,104.976288,11.202104,10.488652,10.393263,10.585134
239.30891735,27.2688972,19.740849,0.051408,17.667862,6.596268E-3,2.75975,0.070585,0.095822,94.082329,19.11615,10.414697,10.322043,10.509955
239.30666604,27.2579958,20.206301,0.067872,17.573442,6.196167E-3,1.209441,0.031879,0.087018,125.03138,11.819954,10.412891,10.319487,10.506793
239.386744,27.25158025,19.663677,0.053423,16.906445,4.834727E-3,1.843054,0.035223,0.086008,217.283997,13.941271,10.70725,10.615705,10.799142
239.38105726,27.27649171,25.705387,1.137362,18.534519,0.014146,2.015643,0.168282,0.418191,365.475891,50.71067,-9999,-9999,-9999
239.35677483,27.0998383,20.15424,0.063158,17.526009,5.964541E-3,1.336509,0.042004,0.086083,124.970779,10.779484,10.360889,10.270229,10.448822
239.62160898,27.07008367,21.297464,0.231429,17.25569,6.205529E-3,2.400343,0.067026,0.173387,205.227646,16.626799,11.308689,11.217844,11.4032
239.59293821,27.16595695,20.210323,0.066627,17.458014,5.842042E-3,1.029042,0.029487,0.086772,155.965607,10.797079,10.4182,10.32615,10.510559
239.60813867,27.18083499,20.233557,0.077344,17.303137,5.710905E-3,1.591751,0.043025,0.091156,162.191284,13.566875,10.622445,10.530243,10.717561
239.66735843,27.06083082,21.714287,0.293313,17.688437,7.475826E-3,1.729566,0.04998,0.229106,219.996262,18.672943,11.411186,11.320129,11.513547
239.67945199,26.98520393,19.920444,0.06858,17.088095,5.45158E-3,2.548946,0.067077,0.090553,140.335205,13.01383,10.660655,10.570743,10.749509
239.65947277,26.93845731,23.097181,0.856226,18.975979,0.016293,3.641187,0.286965,0.248912,125.655182,29.662708,11.261936,11.178473,11.357436
239.42507698,27.32953724,20.243507,0.079248,17.109362,5.341775E-3,1.273271,0.03452,0.094134,176.865845,12.697813,10.772109,10.686077,10.857016
239.45702261,27.35847965,20.497351,0.091845,17.589649,6.687425E-3,1.52699,0.046388,0.086763,166.762344,14.419243,10.386668,10.293068,10.471444
239.52677414,27.27410835,18.916697,0.038453,15.898561,3.437169E-3,3.399532,0.036102,0.086841,294.129486,11.162232,11.201825,11.122019,11.286191
239.55317876,27.28314698,20.455036,0.079995,17.485895,6.069319E-3,0.973463,0.027168,0.086052,222.348572,15.644976,10.467067,10.376556,10.551859
239.55963417,27.27210267,19.130207,0.048144,16.25086,4.053203E-3,2.830868,0.043466,0.095399,249.746338,11.93017,11.111867,11.021967,11.198094
239.56430175,27.27430378,20.712204,0.116515,17.689594,7.326056E-3,1.31324,0.056942,0.096655,113.922462,12.496473,10.523354,10.434757,10.608459
239.57270846,27.2693214,19.480597,0.056764,16.979874,5.806433E-3,7.718129,0.210278,0.084852,81.240257,11.346662,10.40935,10.295817,10.531239
239.61453548,27.25405026,23.461302,1.047644,19.254091,0.020319,1.100347,0.108305,0.440829,165.365662,28.076658,-9999,-9999,-9999
239.61358953,27.21677156,20.812584,0.118916,17.711302,7.873458E-3,1.076132,0.057198,0.090069,128.367783,17.961096,10.490121,10.397978,10.565315
239.68154626,27.38146585,20.390608,0.088405,17.756699,7.303616E-3,3.297018,0.085495,0.089302,96.829765,12.570981,10.396562,10.290426,10.510112
